order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
27,7,2015,0.08074882648583291,0.9498801406677448,2.780351150109082,0.0003498365763078274,0.49772909813418686,0.20522019710837236,1.8838865419189132,0.0,0.0,15375.0,25,2.28,2.96,1456.84,615.0,54.599588092376216,0.5256000000000001,25,25,1.0,1.0,0.0,0.0,1.0,1.0,1,1,2,4,1,0,0,0,0,0,0,1,13,0,0,0,0,2,0,0,0,0
28,7,2015,0.09420696423347173,1.1081934974457024,3.243743008460596,0.0004081426723591319,0.580683947823218,0.23942356329310108,2.197867632238732,0.0,0.0,2019042.0,2752,7.156273764258555,2.7425855513307984,1646.4281368821294,751.2334600760456,54.59958809237621,0.4621939163498099,2630,2630,0.0,0.0,0.0,0.0,0.0,0.0,193,45,328,735,224,11,0,0,0,0,4,141,433,0,226,17,0,366,0,0,13,16
29,7,2015,0.10093603310729114,1.187350175834681,3.4754389376363526,0.00043729572038478425,0.6221613726677335,0.2565252463854654,2.3548581773986417,0.0,0.0,2249245.0,2917,6.491321289408431,2.7647892313142046,1630.9362380446335,783.509032943677,54.599588092376216,0.46534891958908964,2823,2823,0.0,0.0,2.0,1.0,1.0,1.0,247,30,351,770,228,5,0,0,0,0,11,145,491,0,188,23,0,382,0,0,24,22
30,7,2015,0.10430056754420085,1.2269285150291704,3.591286902224231,0.00045187224439761036,0.6429000850899913,0.2650760879316476,2.433353449978596,0.0,0.0,2105858.0,2888,6.488138030194105,2.8317757009345796,1560.5043134435657,740.9306254493171,54.599588092376216,0.4559130122214234,2782,2782,0.0,0.0,0.0,0.0,0.0,0.0,209,44,284,812,270,9,0,0,0,0,7,108,457,0,194,18,0,423,0,0,23,30
31,7,2015,0.1059828347626557,1.246717684626415,3.6492108845181703,0.00045916050640402344,0.6532694413011202,0.2693515087047387,2.4726010862685737,0.0,0.0,1426134.0,1932,6.470684039087948,2.7779587404994572,1524.2323561346363,756.8203040173725,54.60543772639535,0.45045602605863194,1842,1842,0.0,0.0,0.0,0.0,1.0,1.0,144,41,175,516,194,8,0,0,0,0,2,82,363,0,112,26,0,233,0,0,23,13
32,8,2015,0.0276482857079052,0.7761151754876447,1.2676091436874835,0.0001116958539817929,0.20400694217332,0.0917628042071777,1.5312875460264759,0.0,0.0,699.0,1,5.0,4.0,1450.0,699.0,59.987101024,0.52,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,8,2015,0.01459252753211345,0.6976814239645164,0.8706755202157023,5.378507857808781e-05,0.12912985898535326,0.06216468679091752,1.374401955986126,0.0,0.0,299.0,1,6.0,1.0,1990.0,299.0,59.987101024,0.85,1,1,0.0,0.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,8,2015,0.004800708900269637,0.6388561103221702,0.5729753026118665,1.0351997025308992e-05,0.07297204659437823,0.039966098728722387,1.256737763455864,0.0,0.0,1190.0,3,10.333333333333334,2.0,628.0,396.6666666666667,59.987101024,0.41,3,3,0.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
36,9,2015,1.1646055467365435,0.5567325393511078,18.960904584488688,0.18308836575547216,4.9291428100982415,1.5201147061928484,2.1551987766089424,0.0,0.0,2003721.0,2834,6.664944649446494,2.840221402214022,1528.108118081181,722.4549815498154,46.96879696808709,0.4615239852398524,2710,2710,0.0,0.0,0.0,0.0,1.0,1.0,162,34,241,789,169,7,0,18,0,0,15,121,549,0,190,179,0,314,0,0,13,33
37,9,2015,1.3581783480045846,0.5446793140126626,22.033828915290485,0.21360257452303422,5.740064543248634,1.7674227682163748,2.3082107285936297,0.0,0.0,2454799.0,3320,6.510165780419143,2.9036596809508914,1690.5736628088832,751.7288082577417,46.92541868726399,0.47065686581169847,3197,3197,1.0,1.0,0.0,0.0,0.0,0.0,221,40,266,785,215,9,0,13,0,0,8,159,778,0,263,192,0,327,0,0,19,25
