order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,CoolingPad,GameControlMount,GamePad,GamingAccessoryKit,GamingAdapter,GamingChargingStation,GamingHeadset,GamingKeyboard,GamingMemoryCard,GamingMouse,GamingMousePad,GamingSpeaker,JoystickGamingWheel,MotionController,TVOutCableAccessory
27,7,2015,2.861099976594915,3.3318456172971525,2.9855713472174545,0.0,22344.0,24,3.4583333333333335,3.2083333333333335,3504.125,931.0,54.599588092376216,0.31625,24,24,1.0,1.0,0.0,0.0,1.0,1.0,0,0,14,2,0,0,2,1,0,4,1,0,0,0,0
28,7,2015,3.3379499726940676,3.887153220180011,3.483166571753697,0.0,1866719.0,2767,5.375094339622642,3.2456603773584907,1667.5596226415093,685.1256603773585,54.599588092376216,0.42154339622641507,2650,2650,0.0,0.0,0.0,0.0,0.0,0.0,0,0,861,100,48,0,177,424,36,966,55,0,11,16,73
29,7,2015,3.576374970743644,4.16480702162144,3.7319641840218183,0.0,1585166.3591979076,2704,5.268747466558573,2.72111876773409,1638.086745034455,630.5676364807084,54.599588092376216,0.45122821240372923,2467,2467,0.0,0.0,2.0,1.0,1.0,1.0,0,0,1647,129,44,0,179,162,27,357,48,0,8,11,92
30,7,2015,3.695587469768432,4.303633922342155,3.856362990155879,0.0,1722134.5,2231,5.45925925925926,2.5921296296296297,2139.3449074074074,784.8349537037037,54.599588092376216,0.3980092592592593,2160,2160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,921,166,35,0,283,170,28,448,67,0,9,11,93
31,7,2015,3.7551937192808262,4.373047372702512,3.918562393222909,0.0,1298391.0,1619,5.713093709884467,3.2374839537869065,5311.3973042362,816.8401797175867,54.60304605959806,0.4646469833119384,1558,1558,0.0,0.0,0.0,0.0,1.0,1.0,0,0,611,95,31,0,424,71,11,232,39,1,17,8,79
32,8,2015,1.2952574293953887,2.511521359541422,1.359371947894661,0.0,2295.0,4,7.25,2.25,1918.5,573.75,59.987101024,0.63,4,4,1.0,1.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
33,8,2015,0.8852680477478156,2.2012670240145735,0.93284020700662,0.0,4875.0,4,6.0,2.5,2583.25,1218.75,59.987101024,0.385,4,4,0.0,0.0,2.0,1.0,1.0,1.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
34,8,2015,0.6802733569240292,2.0461398562511497,0.7195743365625992,0.0,598.0,2,2.0,2.5,599.0,299.0,59.987101024,0.505,2,2,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,8,2015,0.577776011512136,1.9685762723694373,0.6129414013405888,0.0,2303.0,4,6.0,3.25,1035.75,575.75,59.987101024,0.45000000000000007,4,4,0.0,0.0,3.0,1.0,0.0,0.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
36,9,2015,20.12551013122523,7.824162491813762,20.481019290681537,0.0,1656669.5,2615,5.183926429428229,2.7357057177129147,1533.374650139944,647.8922431027589,46.97764452627533,0.4050659736105558,2501,2501,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1444,115,31,0,353,78,9,373,50,0,21,12,129
37,9,2015,23.39200726329507,8.80655716037796,23.801251683506862,0.0,1654831.0,2383,5.576973397296118,2.7570867858700394,1917.6109899694723,709.5521151330136,46.925418687263985,0.4015787178368949,2293,2293,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1021,135,22,0,364,61,125,362,36,0,27,6,224
38,9,2015,25.02525582932999,9.297754494660058,25.46136787991953,0.0,1745502.0011779058,2371,5.870557261956999,2.843791136463361,2383.5116279069766,751.5739362071956,46.925418687263985,0.4178806494076349,2279,2279,0.0,0.0,0.0,0.0,1.0,1.0,0,0,954,132,35,0,381,59,86,348,57,0,29,14,276
39,9,2015,25.84188011234745,9.543353161801107,26.291425978125858,0.0,1719141.0,2454,5.977186311787072,2.6983523447401776,2414.9429657794676,711.7013096746937,46.925418687263985,0.43049852133502325,2367,2367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,926,186,37,0,622,56,44,336,49,1,27,9,161
40,9,2015,26.250192253856177,9.666152495371634,26.706455027229023,0.0,1670520.0,2333,5.922671353251318,2.789982425307557,2429.0017574692442,722.9600175746924,45.50535231888553,0.41524165202108965,2276,2276,0.0,0.0,0.0,0.0,1.0,1.0,0,0,868,157,47,0,493,47,28,465,35,0,44,6,143
41,10,2015,40.30651175763607,29.438468744602584,40.726020756207156,0.0,1495352.0,2169,5.56563245823389,2.5809069212410503,1866.7193317422434,699.5799522673032,44.3983889339963,0.3892458233890215,2095,2095,0.0,0.0,1.0,1.0,0.0,0.0,0,0,824,171,53,0,316,51,29,532,35,0,26,5,127
42,10,2015,42.64923167493272,32.73385478614108,43.062615044370176,0.0,6077830.560090643,11025,5.230537796163971,3.549642722828131,4827.632850695751,559.9741267482302,44.3983889339963,0.5394687852576157,10636,10636,1.0,1.0,4.0,1.0,1.0,1.0,2,0,1965,281,100,0,3335,458,92,4238,241,5,70,14,224
43,10,2015,43.820591633581046,34.38154780691032,44.23091218845169,0.0,1692106.5666765815,2549,6.1478505423865,2.5395741261550824,1484.2944957814384,671.5447622881946,44.3983889339963,0.4157010847730012,2489,2489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,782,151,73,0,712,56,56,536,32,3,15,9,124
