order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,BoomBox,DJController,Dock,DockingStation,FMRadio,HiFiSystem,HomeAudioSpeaker,SlingBox,SoundMixer,VoiceRecorder
27,7,2015,0.08074882648583291,0.9498801406677448,2.780351150109082,0.0003498365763078274,0.49772909813418686,0.20522019710837236,1.8838865419189132,0.0,0.0,73660.0,32,3.09375,3.71875,4108.40625,2301.875,54.599588092376216,0.38468749999999996,32,32,1.0,1.0,0.0,0.0,1.0,1.0,4,0,0,0,2,0,26,0,0,0
28,7,2015,0.09420696423347173,1.1081934974457024,3.243743008460596,0.0004081426723591319,0.580683947823218,0.23942356329310108,2.197867632238732,0.0,0.0,3394594.1330905017,1888,7.618512573568753,2.797752808988764,3024.2043873729267,1810.2338860837356,54.599588092376216,0.3358105939004815,1869,1869,0.0,0.0,0.0,0.0,0.0,0.0,60,0,30,1,478,13,1281,0,0,25
29,7,2015,0.10093603310729114,1.187350175834681,3.4754389376363526,0.00043729572038478425,0.6221613726677335,0.2565252463854654,2.3548581773986417,0.0,0.0,4012062.0,2204,7.157390510948905,2.7230839416058394,3158.9785583941607,1824.581204379562,54.599588092376216,0.34961222627737226,2192,2192,0.0,0.0,2.0,1.0,1.0,1.0,57,0,50,1,532,27,1511,0,0,26
30,7,2015,0.10430056754420085,1.2269285150291704,3.591286902224231,0.00045187224439761036,0.6429000850899913,0.2650760879316476,2.433353449978596,0.0,0.0,3560271.0,2004,7.137965760322256,2.8026183282980868,3155.2950654582073,1781.4718026183284,54.599588092376216,0.34803625377643505,1986,1986,0.0,0.0,0.0,0.0,0.0,0.0,65,0,56,0,509,20,1332,0,0,22
31,7,2015,0.1059828347626557,1.246717684626415,3.6492108845181703,0.00045916050640402344,0.6532694413011202,0.2693515087047387,2.4726010862685737,0.0,0.0,2588403.0,1419,7.291076487252124,2.6834277620396603,3180.5616147308783,1827.3484419263457,54.599588092376216,0.34524079320113316,1412,1412,0.0,0.0,0.0,0.0,1.0,1.0,37,0,44,0,372,11,939,0,0,16
32,8,2015,0.0276482857079052,0.7761151754876447,1.2676091436874835,0.0001116958539817929,0.20400694217332,0.0917628042071777,1.5312875460264759,0.0,0.0,2599.0,1,9.0,2.0,3099.0,2599.0,59.987101024,0.16,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0
36,9,2015,1.1646055467365435,0.5567325393511078,18.960904584488688,0.18308836575547216,4.9291428100982415,1.5201147061928484,2.1551987766089424,0.0,0.0,2899710.0,1648,5.61121267519805,2.7477148080438756,3387.0810481413773,1762.2803168799512,46.98113579656145,0.3915539305301645,1641,1641,0.0,0.0,0.0,0.0,1.0,1.0,67,0,48,0,441,22,1031,0,0,39
37,9,2015,1.3581783480045846,0.5446793140126626,22.033828915290485,0.21360257452303422,5.740064543248634,1.7674227682163748,2.3082107285936297,0.0,0.0,3208845.0,1861,5.537587885343429,2.837750135208221,3335.351000540833,1731.0816657652786,46.925418687263985,0.3920173066522445,1849,1849,1.0,1.0,0.0,0.0,0.0,0.0,81,0,54,3,517,26,1130,0,0,50
38,9,2015,1.4549647486386053,0.53865270134344,23.570291080691383,0.22885967890681524,6.145525409823831,1.891076799228138,2.3847167045859727,0.0,0.0,2888072.0,1705,6.229216152019003,2.642517814726841,3054.8996437054634,1707.2571258907362,46.925418687263985,0.37765439429928743,1684,1684,0.0,0.0,0.0,0.0,1.0,1.0,77,0,53,2,462,23,1060,0,0,28
39,9,2015,1.5033579489556157,0.5356393950088287,24.338522163391836,0.23648823109870576,6.3482558431114295,1.9529038147340196,2.4229696925821447,0.0,0.0,3243337.0,2063,6.351851851851852,2.612085769980507,2829.0004873294347,1575.7037037037037,46.925418687263985,0.3614424951267056,2052,2052,0.0,0.0,0.0,0.0,0.0,0.0,74,0,51,3,677,19,1205,0,0,34
40,9,2015,1.5275545491141207,0.534132741841523,24.72263770474206,0.24030250719465102,6.449621059755229,1.9838173224869604,2.4420961865802306,0.0,0.0,3235617.0,1937,6.34269370774831,2.4680187207488298,3008.517940717629,1677.3593343733748,45.49698325210956,0.36180447217888717,1923,1923,0.0,0.0,0.0,0.0,1.0,1.0,72,0,52,1,585,24,1176,0,0,27
41,10,2015,2.6679701246301315,4.860604374765028,37.63854163300594,1.3487429164223934,10.675040713234832,3.087479123201218,12.554080740180328,0.0,0.0,2790152.0,1714,5.962107756068679,2.541740674955595,2908.724097098875,1641.7164002368265,44.3983889339963,0.36228537596210775,1689,1689,0.0,0.0,1.0,1.0,0.0,0.0,44,0,68,3,534,15,1010,1,0,39
42,10,2015,2.858039387216133,5.581682980252279,39.791192287716584,1.533482984627017,11.3792773221481,3.2714227566535943,14.239411499113675,0.0,0.0,13547144.0,7461,5.946303291958985,2.320696168375607,3565.6422018348626,1820.5977468969238,44.398388933996294,0.4282042633567188,7412,7412,1.0,1.0,4.0,1.0,1.0,1.0,133,0,152,3,1268,57,5797,0,0,51
43,10,2015,2.9530740185091338,5.942222282995905,40.86751761507191,1.625853018729329,11.731395626604733,3.3633945733797823,15.082076878580352,0.0,0.0,4036334.0,2292,6.6281429201588,2.626819585355095,3136.050727834142,1770.108954565505,44.3983889339963,0.3736259373621526,2267,2267,0.0,0.0,0.0,0.0,0.0,0.0,56,0,68,3,593,26,1526,0,0,20
44,11,2015,2.279060826057077,1.8673628939327782,14.968024425769134,0.44374744784619896,10.103628508586656,3.2676512747949458,5.489042177901172,0.0,0.0,4825071.0,2704,6.56140350877193,2.48488241881299,3157.4927211646136,1791.5834266517356,44.731480608367065,0.368682344158268,2679,2679,1.0,1.0,0.0,0.0,1.0,1.0,61,0,49,3,668,34,1859,0,0,30
45,11,2015,2.1825643991972346,1.2483095462128613,10.830829782111225,0.26212485838272925,9.891020372993083,3.267022694485171,4.030647291032421,0.0,0.0,6142557.0,3179,5.004120443740095,2.7606973058637085,4229.478288431062,1939.2285261489699,46.99999999999999,0.4556069730586371,3155,3155,0.0,0.0,2.0,1.0,0.0,0.0,61,0,43,3,584,26,2433,0,0,29
46,11,2015,2.1224368568556877,0.8937154595099497,8.627691794362855,0.1597673093882054,9.740701517139216,3.25521192723951,3.196116675164712,0.0,0.0,4101231.80000603,2273,6.435419440745672,2.4354194407456724,3438.0146471371504,1812.9958632949927,46.99999999999999,0.3833510874389703,2253,2253,1.0,1.0,4.0,1.0,1.0,1.0,26,0,47,1,517,21,1642,0,0,19
47,11,2015,2.0923730856849145,0.7164184161584939,7.52612280048867,0.10858853489094349,9.665542089212284,3.2493065436166795,2.7788513672308572,0.0,0.0,3073985.5,1661,5.884848484848485,2.6333333333333333,3523.427878787879,1859.2312121212121,46.99999999999999,0.37702424242424243,1650,1650,0.0,0.0,0.0,0.0,0.0,0.0,26,0,30,3,474,24,1086,0,0,18
48,11,2015,2.0773412000995277,0.627769894482766,6.9753383035515775,0.08299914764231253,9.627962375248817,3.2463538518052646,2.57021871326393,0.0,0.0,3254341.5,1792,6.430258717660292,2.4769403824521934,3153.9735658042746,1822.9755343082115,46.99999999999999,0.35357142857142854,1778,1778,0.0,0.0,0.0,0.0,0.0,0.0,36,0,35,3,413,14,1260,0,0,31
49,12,2015,2.11385571496349,1.0684770305197597,18.67242043531821,0.33995376162945296,9.043498662408723,2.8210227743678287,3.9662659657183257,0.0,0.0,3682140.0,1970,5.720061412487206,2.7681678607983624,3770.5025588536337,1876.9452405322415,45.983009211873075,0.41914022517911975,1954,1954,0.0,0.0,0.0,0.0,1.0,1.0,27,1,56,4,463,14,1369,0,0,36
50,12,2015,2.1199414674408166,1.1419282198592589,20.621934123945984,0.38277953062730974,8.94608804360204,2.7501342614615893,4.198940507794059,0.0,0.0,6019425.991360423,2954,4.9081944916695,2.9500170010200613,4652.520571234274,2041.3332170555673,45.8,0.48693301598095884,2941,2941,0.0,0.0,0.0,0.0,0.0,0.0,27,1,42,3,446,17,2377,0,0,41
51,12,2015,2.12298434367948,1.1786538145290082,21.59669096825987,0.40419241512623805,8.8973827341987,2.7146900050084697,4.315277778831925,0.0,0.0,3984487.0,2106,5.935299714557564,2.786869647954329,3792.081826831589,1894.2683158896289,45.8,0.41056612749762134,2102,2102,0.0,0.0,0.0,0.0,1.0,1.0,30,0,38,6,411,22,1568,0,0,31
52,12,2015,2.1245057817988124,1.197016611863883,22.084069390416815,0.41489885737570226,8.87303007949703,2.69696787678191,4.373446414350858,0.0,0.0,5428212.250025733,2694,5.183383233532934,2.5116017964071857,4212.601796407185,2025.8226983629243,45.8,0.44462949101796406,2672,2672,2.0,1.0,3.0,1.0,0.0,0.0,41,0,34,5,372,26,2181,0,0,35
53,1,2016,2.148515833537733,0.4581900025074573,6.891133000356022,0.4375600186905797,10.697227083844329,3.403775431587767,2.623221602883412,1.0125000000000002,10.158750000000008,4301609.250025733,2250,5.895395619132767,2.4389807778274473,3460.4327223960663,1917.5682834267918,46.38380046414126,0.37398301296379083,2237,2237,1.0,1.0,6.0,1.0,1.0,1.0,40,0,52,2,363,23,1723,0,0,47
